Website Inventory,Region,Country,Locale,Purpose,TechStack,Account/Instance ID,Ownership/control contact,Business Stakeholders,Agency information,Paid by?,Remarks
https://shop.resmed.com/SE/sv,EU,Sweden,sv-se,B2C E-Commerce,SAP Hybris,,Jan Nee,,,,
https://www.somnapne.se,EU,Sweden,sv-se,Awareness,WP on Savvii,,"Vish, Preeti, Joel, Florian",,,,
https://www.hilot.se,EU,Sweden,sv-se,Landing page,WP on Savvii,,"Vish, Preeti, Joel, Florian",,,,
https://www.resmed.dk,EU,Denmark,da-dk,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://shop.resmed.com/DK,EU,Denmark,da-dk,B2C E-Commerce,SAP Hybris,,Jan Nee,,,,
https://www.sovnapno.dk,EU,Denmark,da-dk,Awareness,WP on Savvii,,"Vish, Preeti, Joel, Florian",,,,
https://shop.resmed.com/FI/fi,EU,Finland,fi-fi,B2C E-Commerce,SAP Hybris,,Jan Nee,,,,
https://www.resmed.fi,EU,Finland,fi-fi,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://www.uniapnea.fi,EU,Finland,fi-fi,Awareness,WP on Savvii,,"Vish, Preeti, Joel, Florian",,,,
https://shop.resmed.com/NO/no,EU,Norway,nb-no,B2C E-Commerce,SAP Hybris,,Jan Nee,,,,
https://www.resmed.no,EU,Norway,nb-no,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://www.sovnapne.no,EU,Norway,nb-no,Awareness,WP on Savvii,,"Vish, Preeti, Joel, Florian",,,,
https://webinars.resmed.eu,EU,EU,en-gb,Education,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://webinars.resmed.eu/de-de,EU,EU,de-de,Education,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://webinars.resmed.eu/fr-fr/,EU,EU,fr-fr,Education,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://webinars.resmed.eu/es-es/,EU,EU,es-es,Education,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://webinars.resmed.eu/it-it/,EU,EU,it-it,Education,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://narval-easy.resmed.eu,EU,EU,fr,Education,,,"Vish, Preeti, Joel, Florian",,,,
https://myair.resmed.eu,EU,EU,14 languages,Product,,,"Brian Hickey, Dylan Beadle, PD Eng",,,,
https://www.matrixcare.com,AMR,US,en-us,SAAS,,,Andrew Rodgers,,,,
https://www.healthcarefirst.com,AMR,US,en-us,SAAS,,,Andrew Rodgers,,,,
https://www.brightree.com,AMR,US,,SAAS,,,Andrew Rodgers,,,,
https://www.citushealth.com,AMR,US,,SAAS,,,Andrew Rodgers,,,,
https://www.goscripts.com,AMR,US/Canada,,SAAS,,,,,,,Domain already pointed to Azure service. Record in Media Temple should be cleaned
https://support.resmed.com,Global,Global,,Support,,,"Trivikram, Ramanjeet",,,,
https://supplier.resmed.com,Global,Global,,Suppliers,,,Wassim (?),,,,redirected to supplier-connect.resmed.com
https://supplier-connect.resmed.com/,Global,Global,,Suppliers,Strapi,,Wassim (?),,,,
https://investor.resmed.com,Global,Global,,Investors,,,Marketing,,,,
https://newsroom.resmed.com,Global,Global,,News,,,Marketing,,,,
https://careers.resmed.com,Global,Global,,Careers,,,"People team, Satish, Raman",,,,
https://resmed.csod.com,Global,Global,,E-Learning,,,People team,,,,
https://onlinestore.resmed.com,Global,Global,,B2B Commerce,,,"DB Patil, Samik",,,,
https://onlinestore.resmed.com.cn,China,China,,B2B Commerce,,,Liunan Zhang,,,,
https://onlinestore.resmed.co.in,India,India,,B2B Commerce,,,,,,,
https://airview.resmed.com,Global,Global,,Product,,,"Peter Delangre, Nikunj Passi, PD Eng",,,,
https://myair.resmed.com,Global,Global,,Product,ContentStack (?),,"Brian Hickey, Dylan Beadle, PD Eng",,,,
https://rmdassets.resmed.com,Global,Global,,DAM,Brandfolder,,"Shane Hudalla, Jarrett King, Preeti G",,,,To be migrated to Aprimo by March 2024
https://www.resmed.be,EU,Belgium,be-be,Brand,WP on Savvii,,"Vish, Preeti, Joel, Florian",,,,
https://www.inhealthcare.co.uk/,EU,UK,en-uk,Brand,WP,,,,,,Acquired by ResMed on 4th June 2024
https://www.medifoxdan.de/,EU,Germany,,Brand,HubSpot,,??,,,,
https://author-p133225-e1368570.adobeaemcloud.com/ui#/aem/libs/fmdita/clientlibs/xmleditor/page.html?leftPanel=OVERVIEW,Global,Global,,Labelling,Adobe Experience Manager,,Doug Gray,,,,
,Global,Global,,Content Management,Paligo,,Suzanne Halliday,,,,
